Scenario,Year,Actualized cost
scenario1,Y0,65473794817.97599
scenario1,Y1,92594467247.51848
scenario1,Y2,142905103685.94708
scenario1,Y3,78534244486.8461
scenario1,Y4,76549602203.04253
scenario1,Y5,77396185981.06363
scenario1,Y6,72880085997.1499
scenario1,Y7,69179745217.1355
scenario1,Y8,65298899471.16651
scenario1,Y9,62040303519.97325
scenario1,Y10,59841525080.59923
scenario1,Y11,54381706184.14896
scenario1,Y12,49763281045.37234
scenario1,Y13,46566357842.31633
scenario1,Y14,44352566997.37189
scenario1,Y15,43201532095.50883
scenario1,Y16,41601687635.13899
scenario1,Y17,39489331746.530525
scenario1,Y18,37070229293.03552
scenario1,Y19,35735477976.06498
scenario1,Y20,33237122017.54753
scenario1,Y21,31794151400.56831
scenario1,Y22,29686863611.511883
scenario1,Y23,28271365860.863613
scenario1,Y24,26428136796.860588
scenario1,Y25,25836776980.98768
scenario1,Y26,24944178071.22659
scenario1,Y27,22710604802.41545
scenario1,Y28,21753200764.25437
scenario1,Y29,20469689658.246864
scenario1,Y30,20144247674.61556
scenario1,Y31,18581744910.145046
scenario1,Y32,17626455860.293625
scenario1,Y33,16684505395.56896
scenario1,Y34,16056309076.031818
scenario1,Y35,15360073019.70832
scenario1,Y36,14486581460.709404
scenario1,Y37,13615461059.401669
scenario1,Y38,12960298664.873669
scenario1,Y39,12328328063.196594
scenario1,Y40,11863295565.93038
scenario1,Y41,11235946089.522331
scenario1,Y42,10592639230.24235
scenario1,Y43,10061428233.203403
scenario1,Y44,9579921813.508514
scenario1,Y45,9106841030.091097
scenario1,Y46,8650267274.529116
scenario1,Y47,8211875811.882242
scenario1,Y48,7811243266.009544
scenario1,Y49,7472548358.355533
scenario1,Y50,7153971036.387995
scenario2,Y0,68121070383.16155
scenario2,Y1,94954019791.21613
scenario2,Y2,150951875898.8308
scenario2,Y3,85790387526.15369
scenario2,Y4,83249067214.8744
scenario2,Y5,80891682498.41347
scenario2,Y6,75131719689.13716
scenario2,Y7,69541843176.17036
scenario2,Y8,64923494112.72028
scenario2,Y9,61678981199.862175
scenario2,Y10,58671261906.11983
scenario2,Y11,53288010826.89063
scenario2,Y12,50160167082.96927
scenario2,Y13,46967359466.32405
scenario2,Y14,45249122374.4973
scenario2,Y15,43441762426.99326
scenario2,Y16,41887046893.77365
scenario2,Y17,39482317068.964325
scenario2,Y18,36964728821.78614
scenario2,Y19,36856207854.11474
scenario2,Y20,33323568827.055298
scenario2,Y21,32020040607.89374
scenario2,Y22,30315434671.454063
scenario2,Y23,28596001676.88703
scenario2,Y24,26760744915.058357
scenario2,Y25,25877741986.51269
scenario2,Y26,24298878700.825413
scenario2,Y27,22659491983.45648
scenario2,Y28,21561448584.305084
scenario2,Y29,20362194236.12296
scenario2,Y30,19193377157.265205
scenario2,Y31,18003298059.592354
scenario2,Y32,16849216654.21423
scenario2,Y33,16174319120.262026
scenario2,Y34,15145563650.251242
scenario2,Y35,14509327834.258364
scenario2,Y36,13578398650.465582
scenario2,Y37,12912811303.972084
scenario2,Y38,12289042972.172398
scenario2,Y39,11678953090.93665
scenario2,Y40,11282949225.170015
scenario2,Y41,10700799957.13936
scenario2,Y42,10164738175.66458
scenario2,Y43,9612416733.211998
scenario2,Y44,9160929791.202938
scenario2,Y45,8671340433.57093
scenario2,Y46,8165493282.931752
scenario2,Y47,7742582620.795333
scenario2,Y48,7397213918.27292
scenario2,Y49,7093641312.339587
scenario2,Y50,6802430518.037097
scenario3,Y0,68121070383.16155
scenario3,Y1,94954019791.21613
scenario3,Y2,152014964683.8385
scenario3,Y3,86772063527.56528
scenario3,Y4,84160681716.33199
scenario3,Y5,81732919558.42151
scenario3,Y6,75906861139.99979
scenario3,Y7,70255252936.32129
scenario3,Y8,65596812325.49631
scenario3,Y9,62316700982.5772
scenario3,Y10,59337429972.373
scenario3,Y11,53825346365.66717
scenario3,Y12,50617417458.42226
scenario3,Y13,47417116981.44961
scenario3,Y14,45688525554.0909
scenario3,Y15,43770870468.988525
scenario3,Y16,42244455785.00739
scenario3,Y17,39793109175.10587
scenario3,Y18,37593475980.21921
scenario3,Y19,37118790177.68422
scenario3,Y20,33479068424.239635
scenario3,Y21,32383513707.313007
scenario3,Y22,30664326720.653316
scenario3,Y23,28944764211.344685
scenario3,Y24,27077904427.33305
scenario3,Y25,26215694800.8766
scenario3,Y26,24650318346.09025
scenario3,Y27,23014152885.88625
scenario3,Y28,21634789395.61077
scenario3,Y29,20491948601.01863
scenario3,Y30,19417700632.58887
scenario3,Y31,18217234122.71933
scenario3,Y32,17052965285.76372
scenario3,Y33,16473388227.411404
scenario3,Y34,15530145339.83648
scenario3,Y35,14652921699.213202
scenario3,Y36,13706886535.732891
scenario3,Y37,13034935915.977816
scenario3,Y38,12394316450.478647
scenario3,Y39,11773871104.693192
scenario3,Y40,11374304693.046494
scenario3,Y41,10801355321.021343
scenario3,Y42,10246861060.06397
scenario3,Y43,9709313482.105415
scenario3,Y44,9235734385.327396
scenario3,Y45,8755230393.694021
scenario3,Y46,8251126450.347309
scenario3,Y47,7836266875.901127
scenario3,Y48,7470713881.683826
scenario3,Y49,7168891188.848678
scenario3,Y50,6874532632.508125
scenario4,Y0,68148060102.790985
scenario4,Y1,94974693511.80714
scenario4,Y2,155867372898.6888
scenario4,Y3,88565201315.25784
scenario4,Y4,85719966706.53372
scenario4,Y5,83291640938.98036
scenario4,Y6,76973141738.09457
scenario4,Y7,70933871615.41632
scenario4,Y8,66499394104.22662
scenario4,Y9,63590166567.25781
scenario4,Y10,61051931082.84415
scenario4,Y11,54890216212.78439
scenario4,Y12,51386871312.922485
scenario4,Y13,48744537036.2838
scenario4,Y14,47007999001.04
scenario4,Y15,44294530657.34061
scenario4,Y16,42540309285.28436
scenario4,Y17,40741975581.54243
scenario4,Y18,38116442709.25529
scenario4,Y19,38246484712.01196
scenario4,Y20,34047954049.668644
scenario4,Y21,32649887844.35101
scenario4,Y22,30940791084.165787
scenario4,Y23,29285053673.819763
scenario4,Y24,27376681479.51218
scenario4,Y25,26501994863.044582
scenario4,Y26,25020870510.46312
scenario4,Y27,23526822192.63037
scenario4,Y28,21907085431.409286
scenario4,Y29,20717605116.75692
scenario4,Y30,19707310859.72195
scenario4,Y31,18704401275.621803
scenario4,Y32,17282701294.829426
scenario4,Y33,16454065793.043406
scenario4,Y34,15470262862.22838
scenario4,Y35,14951671805.96156
scenario4,Y36,13892362959.759914
scenario4,Y37,13203443869.929968
scenario4,Y38,12581924185.921955
scenario4,Y39,11973617670.964146
scenario4,Y40,11528032559.822315
scenario4,Y41,10961125589.038502
scenario4,Y42,10403440736.271288
scenario4,Y43,9867574074.911203
scenario4,Y44,9371932889.098906
scenario4,Y45,8897819607.015263
scenario4,Y46,8400947659.624501
scenario4,Y47,7955774354.932903
scenario4,Y48,7583036460.304299
scenario4,Y49,7294633961.129683
scenario4,Y50,6994609948.486926
scenario5,Y0,68148060102.790985
scenario5,Y1,94974693511.80714
scenario5,Y2,158993382556.75964
scenario5,Y3,91125543157.83992
scenario5,Y4,88182723730.9778
scenario5,Y5,85496865102.83076
scenario5,Y6,80486635460.93965
scenario5,Y7,73683111384.9592
scenario5,Y8,69067328265.37163
scenario5,Y9,64731716614.17835
scenario5,Y10,60107581893.206085
scenario5,Y11,56357953481.11178
scenario5,Y12,59366214803.01954
scenario5,Y13,48885106359.49689
scenario5,Y14,46327320322.71319
scenario5,Y15,45633353944.09715
scenario5,Y16,42817578046.425
scenario5,Y17,41144599789.875305
scenario5,Y18,38885707260.97866
scenario5,Y19,37971238925.19028
scenario5,Y20,34270912853.737556
scenario5,Y21,32623230978.1449
scenario5,Y22,31221984343.81238
scenario5,Y23,29113335364.847626
scenario5,Y24,27656919537.32011
scenario5,Y25,26378761455.54244
scenario5,Y26,24645831663.04126
scenario5,Y27,23375468828.187096
scenario5,Y28,21967033478.17776
scenario5,Y29,20719721245.980976
scenario5,Y30,19597479900.09437
scenario5,Y31,18640190916.56586
scenario5,Y32,17203818270.553947
scenario5,Y33,16383787596.471045
scenario5,Y34,15474209195.987684
scenario5,Y35,14548736887.315794
scenario5,Y36,13868157361.177765
scenario5,Y37,13191339436.649029
scenario5,Y38,12567306387.017202
scenario5,Y39,11908309558.802317
scenario5,Y40,11442162392.280027
scenario5,Y41,10927776876.551554
scenario5,Y42,10634416844.571218
scenario5,Y43,9870345016.45551
scenario5,Y44,9302228710.970932
scenario5,Y45,8826427222.612247
scenario5,Y46,8344887690.829983
scenario5,Y47,7912165731.35217
scenario5,Y48,7527579107.440799
scenario5,Y49,7265779389.274532
scenario5,Y50,6994677817.382958
scenario6,Y0,68121070383.391655
scenario6,Y1,94954019738.67676
scenario6,Y2,150951875929.63223
scenario6,Y3,85790387478.51242
scenario6,Y4,83249067207.71413
scenario6,Y5,80891682478.59029
scenario6,Y6,75131719658.56805
scenario6,Y7,69541843268.32742
scenario6,Y8,64924010348.57865
scenario6,Y9,61678874717.570335
scenario6,Y10,58699183456.33497
scenario6,Y11,53284534504.97467
scenario6,Y12,50141475074.37112
scenario6,Y13,46960942112.2641
scenario6,Y14,45239715322.90676
scenario6,Y15,43350285120.636215
scenario6,Y16,41838533512.35155
scenario6,Y17,39438715104.883965
scenario6,Y18,36927028723.21553
scenario6,Y19,36820764815.82114
scenario6,Y20,33292315492.037224
scenario6,Y21,31992402613.056183
scenario6,Y22,30291874791.73325
scenario6,Y23,28579105174.51327
scenario6,Y24,26753458434.84335
scenario6,Y25,25897593426.493343
scenario6,Y26,24322698817.368637
scenario6,Y27,22679994239.701096
scenario6,Y28,21577598275.00246
scenario6,Y29,20377533380.44492
scenario6,Y30,19206671863.360954
scenario6,Y31,18017148535.974075
scenario6,Y32,16862407585.199451
scenario6,Y33,16186881884.888784
scenario6,Y34,15156004113.992886
scenario6,Y35,14525143872.335373
scenario6,Y36,13589732450.09649
scenario6,Y37,12923146743.025888
scenario6,Y38,12298922723.78076
scenario6,Y39,11688327638.794931
scenario6,Y40,11286170188.435951
scenario6,Y41,10706649082.144373
scenario6,Y42,10170323458.1103
scenario6,Y43,9618705096.217894
scenario6,Y44,9168265833.92576
scenario6,Y45,8675954394.742046
scenario6,Y46,8173233676.439425
scenario6,Y47,7748940303.746694
scenario6,Y48,7402680647.983522
scenario6,Y49,7096594321.912857
scenario6,Y50,6804546385.405281
scenario7,Y0,68121070383.39164
scenario7,Y1,94954019738.67676
scenario7,Y2,152014964715.477
scenario7,Y3,86772063478.76921
scenario7,Y4,84160681709.19583
scenario7,Y5,81732919538.5975
scenario7,Y6,75906861113.35475
scenario7,Y7,70255253025.00336
scenario7,Y8,65596892930.51271
scenario7,Y9,62316689543.72556
scenario7,Y10,59337590789.05024
scenario7,Y11,53825304675.47447
scenario7,Y12,50617286141.08794
scenario7,Y13,47413122747.42251
scenario7,Y14,45668395377.18798
scenario7,Y15,43700935989.05314
scenario7,Y16,42198687456.306114
scenario7,Y17,39717708074.3468
scenario7,Y18,37636293079.659065
scenario7,Y19,37032826305.1409
scenario7,Y20,33450288344.05168
scenario7,Y21,32358717091.148827
scenario7,Y22,30643936123.78365
scenario7,Y23,28932527422.755283
scenario7,Y24,27073218113.038807
scenario7,Y25,26239759201.152863
scenario7,Y26,24679739610.889816
scenario7,Y27,23035102492.48994
scenario7,Y28,21653107563.76625
scenario7,Y29,20514496068.2891
scenario7,Y30,19434032564.324165
scenario7,Y31,18233977194.948223
scenario7,Y32,17068911069.936749
scenario7,Y33,16488574687.10367
scenario7,Y34,15533917635.654268
scenario7,Y35,14668139339.584732
scenario7,Y36,13721832739.754154
scenario7,Y37,13048711739.641125
scenario7,Y38,12407441981.74578
scenario7,Y39,11786366183.03477
scenario7,Y40,11382546389.778229
scenario7,Y41,10810034859.163095
scenario7,Y42,10255849699.675713
scenario7,Y43,9720527724.267752
scenario7,Y44,9243024586.516829
scenario7,Y45,8763558246.742714
scenario7,Y46,8260482187.662593
scenario7,Y47,7846170684.892569
scenario7,Y48,7476289095.341392
scenario7,Y49,7173881416.997271
scenario7,Y50,6878472024.964031
scenario8,Y0,68148060103.0502
scenario8,Y1,94974693458.7047
scenario8,Y2,155867372933.1497
scenario8,Y3,88565201262.2179
scenario8,Y4,85719966701.21303
scenario8,Y5,83291640919.86023
scenario8,Y6,76973141712.44028
scenario8,Y7,70933871675.41931
scenario8,Y8,66502195723.418045
scenario8,Y9,63589705085.361496
scenario8,Y10,61051132320.48198
scenario8,Y11,54889455051.3291
scenario8,Y12,51386613715.03548
scenario8,Y13,48736123701.35313
scenario8,Y14,46942108669.88992
scenario8,Y15,44265957760.51064
scenario8,Y16,42471182563.3652
scenario8,Y17,40669856522.93783
scenario8,Y18,38080951448.370056
scenario8,Y19,38179382529.11461
scenario8,Y20,34021045024.089592
scenario8,Y21,32629677115.805733
scenario8,Y22,30923741421.118187
scenario8,Y23,29274914738.15125
scenario8,Y24,27377594626.34106
scenario8,Y25,26524880505.871864
scenario8,Y26,25032801508.542427
scenario8,Y27,23550842017.10181
scenario8,Y28,21931564428.975395
scenario8,Y29,20727947707.47399
scenario8,Y30,19733321407.560764
scenario8,Y31,18722471360.338985
scenario8,Y32,17298774960.540657
scenario8,Y33,16463396757.143442
scenario8,Y34,15486901762.92225
scenario8,Y35,14966162136.329231
scenario8,Y36,13904548388.04074
scenario8,Y37,13218583670.339869
scenario8,Y38,12594638676.089346
scenario8,Y39,11980255611.929403
scenario8,Y40,11536344369.031605
scenario8,Y41,10974077983.318577
scenario8,Y42,10411782132.087145
scenario8,Y43,9875264714.590492
scenario8,Y44,9380538926.26581
scenario8,Y45,8906125164.825026
scenario8,Y46,8408802317.17097
scenario8,Y47,7964418121.859407
scenario8,Y48,7590360924.674205
scenario8,Y49,7298276050.955837
scenario8,Y50,6997974420.127203
scenario9,Y0,68148060103.0502
scenario9,Y1,94974693458.7047
scenario9,Y2,158993382594.91537
scenario9,Y3,91125543100.26222
scenario9,Y4,88182723736.16893
scenario9,Y5,85496865074.51042
scenario9,Y6,80486635436.87747
scenario9,Y7,73683111376.99774
scenario9,Y8,69070192620.91946
scenario9,Y9,64745738109.43622
scenario9,Y10,60104134839.68908
scenario9,Y11,56355383010.631386
scenario9,Y12,59364676883.43904
scenario9,Y13,48883850137.82435
scenario9,Y14,46255458912.25229
scenario9,Y15,45512253039.69102
scenario9,Y16,42826970004.833954
scenario9,Y17,41012117055.308495
scenario9,Y18,38868309031.19877
scenario9,Y19,37922961809.37834
scenario9,Y20,34204621753.1165
scenario9,Y21,32606348769.64479
scenario9,Y22,31192786268.56306
scenario9,Y23,29108037129.10864
scenario9,Y24,27622202455.327576
scenario9,Y25,26411817393.257736
scenario9,Y26,24687541709.44406
scenario9,Y27,23415029151.47223
scenario9,Y28,22016451643.322155
scenario9,Y29,20762424661.41255
scenario9,Y30,19614889191.584244
scenario9,Y31,18658819756.76238
scenario9,Y32,17230353174.346397
scenario9,Y33,16396525883.97681
scenario9,Y34,15496424631.342491
scenario9,Y35,14563656564.552382
scenario9,Y36,13877867742.010153
scenario9,Y37,13205493652.388084
scenario9,Y38,12562693798.96635
scenario9,Y39,11935186437.296947
scenario9,Y40,11451109810.342611
scenario9,Y41,10937000103.952269
scenario9,Y42,10638076780.065405
scenario9,Y43,9887465374.859476
scenario9,Y44,9310774029.774292
scenario9,Y45,8837040061.832264
scenario9,Y46,8351298617.652222
scenario9,Y47,7924186854.45691
scenario9,Y48,7538695122.307202
scenario9,Y49,7272011581.85104
scenario9,Y50,6997870966.827986
scenario10,Y0,68121070383.391655
scenario10,Y1,94954019738.67676
scenario10,Y2,150951875929.63223
scenario10,Y3,85790387478.51242
scenario10,Y4,83249067207.71413
scenario10,Y5,80891682478.59029
scenario10,Y6,75131719658.56805
scenario10,Y7,69541843268.32693
scenario10,Y8,64924464376.839554
scenario10,Y9,61678781211.14996
scenario10,Y10,58725865746.76482
scenario10,Y11,53281221010.17355
scenario10,Y12,50103796277.03085
scenario10,Y13,46992867136.32961
scenario10,Y14,44551280655.56433
scenario10,Y15,42521301326.14736
scenario10,Y16,40446486343.81536
scenario10,Y17,38281684636.26474
scenario10,Y18,36431889304.19254
scenario10,Y19,35727421205.7407
scenario10,Y20,32985384949.252674
scenario10,Y21,31307886861.246075
scenario10,Y22,30062853861.14975
scenario10,Y23,28281842161.32428
scenario10,Y24,26545684970.371403
scenario10,Y25,26297922612.412647
scenario10,Y26,24952469229.991165
scenario10,Y27,23103940235.25402
scenario10,Y28,21892307518.149967
scenario10,Y29,20660818268.02805
scenario10,Y30,19477000552.34048
scenario10,Y31,18286481050.066944
scenario10,Y32,17120513463.654354
scenario10,Y33,16329201970.959686
scenario10,Y34,15464966853.558084
scenario10,Y35,14753278968.807983
scenario10,Y36,13806867005.246304
scenario10,Y37,13128066053.251276
scenario10,Y38,12494499253.361172
scenario10,Y39,11862430789.878307
scenario10,Y40,11400167795.23152
scenario10,Y41,10797083919.519009
scenario10,Y42,10277782096.816011
scenario10,Y43,9754534527.49218
scenario10,Y44,9271724341.723644
scenario10,Y45,8799977452.72328
scenario10,Y46,8326747284.773192
scenario10,Y47,7893552898.418095
scenario10,Y48,7509459915.475835
scenario10,Y49,7148674252.238556
scenario10,Y50,6846798431.637559
scenario11,Y0,68121070383.391655
scenario11,Y1,94954019738.67676
scenario11,Y2,152014964715.477
scenario11,Y3,86772063478.76921
scenario11,Y4,84160681709.19583
scenario11,Y5,81732919538.5975
scenario11,Y6,75906861113.35474
scenario11,Y7,70255253025.00337
scenario11,Y8,65596892930.5127
scenario11,Y9,62316689543.72553
scenario11,Y10,59337590789.05024
scenario11,Y11,53825304675.474464
scenario11,Y12,50574709335.14365
scenario11,Y13,47469622982.45817
scenario11,Y14,44973301395.1972
scenario11,Y15,42890571886.90184
scenario11,Y16,40743140325.229126
scenario11,Y17,38798807703.77839
scenario11,Y18,36956432855.19394
scenario11,Y19,36029261729.31507
scenario11,Y20,33229958428.790577
scenario11,Y21,31903481723.12376
scenario11,Y22,30272059800.48802
scenario11,Y23,28696117002.65058
scenario11,Y24,26940101875.688587
scenario11,Y25,26699816221.380974
scenario11,Y26,25323928013.42717
scenario11,Y27,23454935888.40794
scenario11,Y28,22226009635.324352
scenario11,Y29,20985463352.329964
scenario11,Y30,19771142857.42997
scenario11,Y31,18566648620.358097
scenario11,Y32,17387339721.074497
scenario11,Y33,16583322216.121723
scenario11,Y34,15707636087.612934
scenario11,Y35,14990036223.255318
scenario11,Y36,14024713605.127926
scenario11,Y37,13339297640.252562
scenario11,Y38,12692400922.727234
scenario11,Y39,12052059229.4153
scenario11,Y40,11580766309.076277
scenario11,Y41,10969410448.61277
scenario11,Y42,10444545829.75842
scenario11,Y43,9910287577.481632
scenario11,Y44,9417716849.16927
scenario11,Y45,8944154644.158478
scenario11,Y46,8463340982.051297
scenario11,Y47,8019978907.360598
scenario11,Y48,7623958784.660017
scenario11,Y49,7265194224.81788
scenario11,Y50,6956981949.979382
scenario12,Y0,68148060103.0502
scenario12,Y1,94974693458.7047
scenario12,Y2,155867372933.1497
scenario12,Y3,88565201262.21791
scenario12,Y4,85719966701.21304
scenario12,Y5,83291640919.86023
scenario12,Y6,76973141712.44028
scenario12,Y7,70933871675.41931
scenario12,Y8,66502195723.418
scenario12,Y9,63589705085.36156
scenario12,Y10,61051132320.48197
scenario12,Y11,54889455051.3291
scenario12,Y12,51314694500.02629
scenario12,Y13,48182821632.02093
scenario12,Y14,45716702147.42185
scenario12,Y15,43636520896.53097
scenario12,Y16,41271118729.15627
scenario12,Y17,39299778298.45423
scenario12,Y18,37514455650.930855
scenario12,Y19,36534264264.83344
scenario12,Y20,33755389375.740814
scenario12,Y21,32094019160.08232
scenario12,Y22,30765664745.302925
scenario12,Y23,28858272743.89272
scenario12,Y24,27289606804.16054
scenario12,Y25,27090012640.45536
scenario12,Y26,25648221057.776077
scenario12,Y27,24165016472.647083
scenario12,Y28,22429774286.56454
scenario12,Y29,21215209329.31945
scenario12,Y30,20073071641.913788
scenario12,Y31,18769716230.549084
scenario12,Y32,17455928228.493137
scenario12,Y33,16670265263.467314
scenario12,Y34,15950953481.5656
scenario12,Y35,15283097740.726309
scenario12,Y36,14181942519.489475
scenario12,Y37,13502110108.803984
scenario12,Y38,12866253837.514282
scenario12,Y39,12240827946.76942
scenario12,Y40,11746081030.019333
scenario12,Y41,11123619938.449797
scenario12,Y42,10588608184.642166
scenario12,Y43,10066991417.123137
scenario12,Y44,9569031245.148096
scenario12,Y45,9073900291.113926
scenario12,Y46,8574970630.385498
scenario12,Y47,8121960109.891864
scenario12,Y48,7720335322.276024
scenario12,Y49,7371589012.898462
scenario12,Y50,7053566839.313311
scenario13,Y0,68148060103.0502
scenario13,Y1,94974693458.7047
scenario13,Y2,158993382594.91537
scenario13,Y3,91125543100.26222
scenario13,Y4,88182723736.16895
scenario13,Y5,85496865074.5104
scenario13,Y6,80486635436.87747
scenario13,Y7,73683111376.99776
scenario13,Y8,69067753544.41606
scenario13,Y9,64512117770.30685
scenario13,Y10,60140187236.01048
scenario13,Y11,56384401288.70168
scenario13,Y12,58781326634.34782
scenario13,Y13,49234538282.02433
scenario13,Y14,45561448046.44672
scenario13,Y15,43946232595.37168
scenario13,Y16,41244013325.67812
scenario13,Y17,39333806679.30201
scenario13,Y18,37766386970.8297
scenario13,Y19,36553354608.663536
scenario13,Y20,34047377824.02484
scenario13,Y21,31707480604.76681
scenario13,Y22,30867929241.79902
scenario13,Y23,29245823758.551247
scenario13,Y24,27272463531.19557
scenario13,Y25,27027652676.3642
scenario13,Y26,25727928299.547997
scenario13,Y27,24225235047.61949
scenario13,Y28,22573945105.904312
scenario13,Y29,21330159479.50397
scenario13,Y30,20122124569.9671
scenario13,Y31,19169488257.608047
scenario13,Y32,17705707273.243458
scenario13,Y33,16856529019.09864
scenario13,Y34,15892597907.14105
scenario13,Y35,14964876706.973047
scenario13,Y36,14256649423.51056
scenario13,Y37,13563874031.552631
scenario13,Y38,12905984408.970182
scenario13,Y39,12271640598.301168
scenario13,Y40,11776642188.480743
scenario13,Y41,11189149675.92971
scenario13,Y42,10840803482.95584
scenario13,Y43,10106110713.773855
scenario13,Y44,9560049797.741816
scenario13,Y45,9077544795.819004
scenario13,Y46,8601938372.677126
scenario13,Y47,8166565454.578376
scenario13,Y48,7757333365.8323965
scenario13,Y49,7405559826.342219
scenario13,Y50,7087959583.850174
